Taxon;AUTEUR;Synonyme ou nom erroné;Groupe;Sous-Groupe;Ordre;Super famille;Famille;Sous_famille;SYSTEMATIQUE;Commentaire
Eilema griseola;(Hübner, [1803]);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;706;
Eilema caniola;(Hübner, [1808]);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;707;
Eilema lutarella;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;708;
Eilema pygmaeola;(Doubleday, 1847);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;709;
Eilema palliatella;(Scopoli, 1763);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;710;
Eilema complana;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;711;
Eilema lurideola;(Zincken, 1817);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;712;
Eilema depressa;(Esper, 1787);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;713;
Apaidia mesogona;(Godart, [1824});;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;714;
Lithosia quadra;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;715;
Coscinia cribraria;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;716;
Coscinia striata;(Linnaeus, 1758);Spiris striata;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;717;
Utetheisa pulchella;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;718;
Parasemia plantaginis;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;719;
Hyphoraia testudinaria;(Geoffroy in Fourcroy, 1785);Hyphoraia aulica;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;720;
Arctia caja;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;721;
Arctia villica;(Linnaeus, 1758);Epicallia villica;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;722;
Arctia festiva;(Hufnagel, 1766);Eucharia festiva;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;723;
Diacrisia sannio;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;724;
Rhyparioides metelkana;(Lederer,  1861);Rhyparioides flavida;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;725;
Rhyparia purpurata;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;726;
Spilosoma lubricipeda;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;727;
Spilosoma lutea;(Hufnagel, 1766);Spilosoma luteum;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;728;
Spilosoma urticae;(Esper, 1789);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;729;
Diaphora mendica;(Clerck, 1759);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;730;
Phragmatobia fuliginosa;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;731;
Chelis maculosa;(Denis & Schiffermüller, 1775);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;732;
Watsonarctia casta;(Esper, 1785);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;733;
Callimorpha dominula;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;734;
Euplagia quadripunctaria;(Poda, 1761);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;735;
Tyria jacobaeae;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;736;
Amata phegea;(Linnaeus, 1758);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;737;
Dysauxes ancilla;(Linnaeus, 1767);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;738;
Dysauxes punctata;(Fabricius, 1781);;Hétérocères;Arctiinae;Lepidoptera;Noctuoidea;Erebidae;Arctiinae;739;
Bothriomyrmex corsicus;Santschi 1923;;Formicidae;Dolichoderinae;Hymenoptera;Vespoidea;Formicidae;Dolichoderinae;740;
Dolichoderus quadripunctatus;(Linnaeus 1771);;Formicidae;Dolichoderinae;Hymenoptera;Vespoidea;Formicidae;Dolichoderinae;741;
Linepithema humile;(Mayr 1868);;Formicidae;Dolichoderinae;Hymenoptera;Vespoidea;Formicidae;Dolichoderinae;742;
Tapinoma madeirense;Forel 1895;Tapinoma erraticum madeirense;Formicidae;Dolichoderinae;Hymenoptera;Vespoidea;Formicidae;Dolichoderinae;743;
Tapinoma erraticum;(Latreille 1798);;Formicidae;Dolichoderinae;Hymenoptera;Vespoidea;Formicidae;Dolichoderinae;744;
Tapinoma pygmaeum;(Dufour 1857);;Formicidae;Dolichoderinae;Hymenoptera;Vespoidea;Formicidae;Dolichoderinae;745;
Tapinoma nigerrimum;(Nylander 1856);;Formicidae;Dolichoderinae;Hymenoptera;Vespoidea;Formicidae;Dolichoderinae;746;
Camponotus herculeanus;(Linnaeus 1758);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;747;
Camponotus ligniperdus;(Latreille 1802);Camponotus ligniperda;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;748;
Camponotus vagus;(Scopoli 1763);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;749;
Camponotus truncatus;(Spinola 1808);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;750;
Camponotus fallax;(Nylander 1846);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;751;
Camponotus lateralis;(Olivier 1791);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;752;
Camponotus piceus;(Leach 1825);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;753;
Camponotus aethiops;(Latreille 1798);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;754;
Camponotus foreli;Emery 1881;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;755;
Formica polyctena;Forster 1850;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;756;
Formica pratensis;Retzius 1783;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;757;
Formica rufa;Linnaeus 1761;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;758;Formica rufa Linnaeus 1758 est invalidé au profit de Formica rufa Linnaeus 1761 ! (http://hol.osu.edu/search.html?limit=50&name=Formica+rufa)
Formica sanguinea;Latreille 1798;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;759;
Formica cunicularia;Latreille 1798;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;760;
Formica fusca;Linnaeus 1758;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;761;
Formica gagates;Latreille 1798;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;762;
Formica rufibarbis;Fabricius 1793;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;763;
Formica clara;Forel 1886;Formica lusatica;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;764;
Formica picea;Nylander 1846;Formica candida;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;765;
Formica selysi;Bondroit 1918;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;766;
Lasius carniolicus;Mayr 1861;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;767;
Lasius flavus;(Fabricius 1782);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;768;
Lasius myops;Forel 1894;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;769;
Lasius bicornis;(Foerster 1850);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;770;
Lasius distinguendus;Emery 1916;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;771;
Lasius meridionalis;Bondroit 1920;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;772;
Lasius mixtus;(Nylander 1846);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;773;
Lasius sabularum;(Bondroit 1918);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;774;
Lasius umbratus;(Nylander 1846);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;775;
Lasius fuliginosus;(Latreille 1798);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;776;
Lasius alienus;(Foerster 1850);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;777;
Lasius brunneus;(Latreille 1798);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;778;
Lasius emarginatus;(Olivier 1792);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;779;
Lasius lasioides;(Emery 1869);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;780;
Lasius neglectus;Van Loon, Boomsma & Andrasfalvy 1990;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;781;
Lasius paralienus;Seifert 1992;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;782;
Lasius niger;(Linnaeus 1758);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;783;
Lasius platythorax;Seifert 1991;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;784;
Lasius psammophilus;Seifert 1992;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;785;
Plagiolepis taurica;Santschi 1920;Plagiolepis tauricus;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;786;
Plagiolepis pygmaea;(Latreille 1798);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;787;
Plagiolepis xene;Starcke 1936;;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;788;
Polyergus rufescens;(Latreille 1798);;Formicidae;Formicinae;Hymenoptera;Vespoidea;Formicidae;Formicinae;789;
Cardiocondyla elegans;Emery 1869;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;790;
Anergates atratulus;(Schenck 1852);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;791;
Aphaenogaster gibbosa;(Latreille 1798);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;792;
Aphaenogaster subterranea;(Latreille 1798);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;793;
Crematogaster scutellaris;(Olivier 1792);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;794;
Messor capitatus;(Latreille 1798);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;795;
Messor structor;(Latreille 1798);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;796;
Monomorium carbonarium;(F. Smith 1858);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;797;
Monomorium monomorium;Bolton 1987;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;798;
Monomorium pharaonis;(Linnaeus 1758);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;799;
Myrmecina graminicola;(Latreille 1802);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;800;
Myrmica spinosior;Santschi 1931;Myrmica sabuleti spinosior;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;801;
Myrmica specioides;Bondroit 1918;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;802;
Myrmica rubra;(Linnaeus 1758);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;803;
Myrmica ruginodis;Nylander 1846;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;804;
Myrmica sabuleti;Meinert 1861;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;805;
Myrmica scabrinodis;Nylander 1846;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;806;
Myrmica gallienii;Bondroit 1920;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;807;
Myrmica bibikoffi;Kutter 1963;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;808;Myrmica bibikoffi et non pas Myrmica bibikofii !
Myrmica schencki;Emery 1895;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;809;
Pheidole pallidula;(Nylander 1849);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;810;
Solenopsis fugax;Latreille 1798;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;811;
Stenamma striatulum;Emery 1895;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;812;Emery 1895 et non pas Emery 1894 ! (http://antcat.org/references?q=124591) La publication est sortie en 1895 !
Stenamma debile;(Forster 1850);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;813;
Strongylognathus testaceus;(Schenck 1852);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;814;
Temnothorax affinis;(Mayr 1855);Leptothorax affinis;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;815;
Temnothorax albipennis;(Curtis 1854);Leptothorax albipennis;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;816;
Temnothorax nylanderi;(Forster 1850);Leptothorax nylanderi;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;817;
Temnothorax parvulus;(Schenck 1852);Leptothorax parvulus;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;818;
Temnothorax unifasciatus;(Latreille 1798);Leptothorax unifasciatus;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;819;
Tetramorium caespitum;(Linnaeus 1758);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;820;
Tetramorium forte;Forel 1904;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;821;
Tetramorium impurum;(Forster 1850);;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;822;
Tetramorium meridionale;Emery 1870;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;823;
Tetramorium moravicum;Kratochvil 1941;;Formicidae;Mymicinae;Hymenoptera;Vespoidea;Formicidae;Mymicinae;824;
Hypoponera eduardi;(Forel 1894);;Formicidae;Ponerinae;Hymenoptera;Vespoidea;Formicidae;Ponerinae;825;
Ponera coarctata;(Latreille 1802);;Formicidae;Ponerinae;Hymenoptera;Vespoidea;Formicidae;Ponerinae;826;
Ponera testacea;Emery 1895;;Formicidae;Ponerinae;Hymenoptera;Vespoidea;Formicidae;Ponerinae;827;
